speakers,durations,topics,views,descriptions,tags,lengths
Jamie Oliver,1313,Teach every child about food,9789386,Sharing powerful stories from his antiobesity project in Huntington West Virginia  and a shocking image of the sugar we eat  TED Prize winner Jamie Oliver makes the case for an allout assault on our ignorance of food,business|education|food|global issues|health|obesity,0:21:53
Arthur Benjamin,914,A performance of Mathemagic,9772114,In a lively show mathemagician Arthur Benjamin races a team of calculators to figure out 3digit squares solves another massive mental equation and guesses a few birthdays How does he do it Hell tell you,education|entertainment|magic|math|performance,0:15:14
Alex Gendler,280,Can you solve the three gods riddle,9714397,You and your team have crashlanded on an ancient planet Can you appease the three alien overlords who rule it and get your team safely home Created by logician Raymond Smullyan and popularized by his colleague George Boolos this riddle has been called the hardest logic puzzle ever Alex Gendler shows how to solve it Directed by Artrake Studio narrated by Addison Anderson,|animation|math,0:04:40
Nicole Avena,288,How sugar affects the brain,9698251,When you eat something loaded with sugar your taste buds your gut and your brain all take notice This activation of your reward system is not unlike how bodies process addictive substances such as alcohol or nicotine  an overload of sugar spikes dopamine levels and leaves you craving more Nicole Avena explains why sweets and treats should be enjoyed in moderation Directed by STK Films narrated by Michelle Snow music by Michael Dow,|health|brain|food|health care|healthcare|animation|public health|addiction,0:04:48
Matthieu Ricard,1254,The habits of happiness,9674948,What is happiness and how can we all get some Biochemist turned Buddhist monk Matthieu Ricard says we can train our minds in habits of wellbeing to generate a true sense of serenity and fulfillment,Buddhism|God|brain|culture|faith|global issues|happiness|peace|photography|religion|psychology|evolutionary psychology|emotions|mindfulness,0:20:54
Steve Jobs,905,How to live before you die,9660086,At his Stanford University commencement speech Steve Jobs CEO and cofounder of Apple and Pixar urges us to pursue our dreams and see the opportunities in lifes setbacks  including death itself,business|computers|creativity|death|design|goal-setting|innovation|life|technology,0:15:05
Anita Collins,269,How playing an instrument benefits your brain,9618140,When you listen to music multiple areas of your brain become engaged and active But when you actually play an instrument that activity becomes more like a fullbody brain workout Whats going on Anita Collins explains the fireworks that go off in musicians brains when they play and examines some of the longterm positive effects of this mental workout Directed by Sharon Colman Graham narrated by Addison Anderson music by Peter Gosling,|music|brain|creativity|play|entertainment|education|animation|psychology,0:04:29
Sir Ken Robinson,1008,Bring on the learning revolution,9617267,In this poignant funny followup to his fabled 2006 talk Sir Ken Robinson makes the case for a radical shift from standardized schools to personalized learning  creating conditions where kids natural talents can flourish,children|creativity|education|invention,0:16:48
Alex Honnold,709,How I climbed a 3000foot vertical cliff  without ropes,9586408,Imagine being by yourself in the dead center of a 3000foot vertical cliff  without a rope to catch you if you fall For professional rock climber Alex Honnold this dizzying scene marked the culmination of a decadelong dream In a hairraising talk he tells the story of how he summited Yosemites El Capitan completing one of the most dangerous free solo climbs ever,nature|adventure|exploration|storytelling|personal growth|extreme sports,0:11:49
Scott A Mellor,279,How Thor got his hammer,9544717,Loki the mischiefmaker writhes in Thors iron grip The previous night hed snuck up on Thors wife and shorn off her beautiful hair To fix what hed done Loki rushes to the dwarves and tricks them into making gifts for the gods Wanting to best their smith rivals the dwarves make a set of golden treasures including a hammer called Mjolnir Scott A Mellor traces the legend of Thors hammer Directed by Remus and Kiki narrated by Addison Anderson music by Playhead ,animation|history|,0:04:39
Mia Nacamulli,277,What would happen if you didnt drink water,9478526,Water is essentially everywhere in our world and the average human is composed of between 55 and 60 water So what role does water play in our bodies and how much do we actually need to drink to stay healthy Mia Nacamulli details the health benefits of hydration Directed by Chris Bishop narrated by Addison Anderson,health|public health|water||animation|biology|physiology|human body|science,0:04:37
Lisa Winer,222,Can you solve the locker riddle,9336325,Your rich eccentric uncle just passed away and you and your 99 nasty relatives have been invited to the reading of his will He wanted to leave all of his money to you but he knew that if he did your relatives would pester you forever Can you solve the riddle he left for you and get the inheritance Lisa Winer shows how Directed by Artrake Studio narrated by Addison Anderson,memory|math||money|animation|family,0:03:42
Tim Ferriss,801,Why you should define your fears instead of your goals,9207176,The hard choices  what we most fear doing asking saying  are very often exactly what we need to do How can we overcome selfparalysis and take action Tim Ferriss encourages us to fully envision and write down our fears in detail in a simple but powerful exercise he calls fearsetting Learn more about how this practice can help you thrive in highstress environments and separate what you can control from what you cannot,choice|goal-setting|fear|life|humanity|personal growth|success|work-life balance|work,0:13:21
Mia Nacamulli,288,The benefits of a bilingual brain,9189913,Its obvious that knowing more than one language can make certain things easier  like traveling or watching movies without subtitles But are there other advantages to having a bilingual or multilingual brain Mia Nacamulli details the three types of bilingual brains and shows how knowing more than one language keeps your brain healthy complex and actively engaged Directed by TEDEd narrated by PenPen Chen,brain|language||neurology|animation|neuroscience|biology|education|health,0:04:48
Tony Buffington,282,Why do cats act so weird,9170136,Theyre cute theyre lovable and judging by the 26 billion views on over 2 million YouTube videos of them one thing is certain cats are very entertaining But their strange feline behaviors both amusing and baffling leave many of us asking Why do cats do that Tony Buffington explains the science behind some of your cats strangest behaviors Directed by Chintis Lundgren narrated by Addison Anderson music by Edi Premate,|animals|science|biology|nature|evolution|animation,0:04:42
Raffaello DAndrea,695,Meet the dazzling flying machines of the future,9127032,When you hear the word drone you probably think of something either very useful or very scary But could they have aesthetic value Autonomous systems expert Raffaello DAndrea develops flying machines and his latest projects are pushing the boundaries of autonomous flight  from a flying wing that can hover and recover from disturbance to an eightpropeller craft thats ambivalent to orientation  to a swarm of tiny coordinated microquadcopters Prepare to be dazzled by a dreamy swirling array of flying machines as they dance like fireflies above the TED stage,beauty|creativity|demo|drones|design|future|invention|technology|flight,0:11:35
Mike Rowe,1202,Learning from dirty jobs,9059139,Mike Rowe the host of Dirty Jobs tells some compelling and horrifying reallife job stories Listen for his insights and observations about the nature of hard work and how its been unjustifiably degraded in society today,economics|entertainment|work|Best of the Web,0:20:02
Derek Sivers,189,How to start a movement,9040171,With help from some surprising footage Derek Sivers explains how movements really get started Hint it takes two,business|dance|entertainment|leadership|marketing|online video,0:03:09
Sandrine Thuret,664,You can grow new brain cells Heres how,8966013,Can we as adults grow new neurons Neuroscientist Sandrine Thuret says that we can and she offers research and practical advice on how we can help our brains better perform neurogenesisimproving mood increasing memory formation and preventing the decline associated with aging along the way,aging|brain|health|medical research|memory|mental health|mind|neuroscience|science|biology,0:11:04
Julian Treasure,470,5 ways to listen better,8940487,In our louder and louder world says sound expert Julian Treasure We are losing our listening In this short fascinating talk Treasure shares five ways to retune your ears for conscious listening  to other people and the world around you,culture|sound|social change,0:07:50
Louie Schwartzberg,444,Hidden miracles of the natural world,8897490,We live in a world of unseeable beauty so subtle and delicate that it is imperceptible to the human eye To bring this invisible world to light filmmaker Louie Schwartzberg bends the boundaries of time and space with highspeed cameras time lapses and microscopes At TED2014 he shares highlights from his latest project a 3D film titled Mysteries of the Unseen World which slows down speeds up and magnifies the astonishing wonders of nature,bacteria|film|insects|nanoscale|nature|photography,0:07:24
Malcolm Gladwell,1050,Choice happiness and spaghetti sauce,8870267,Tipping Point author Malcolm Gladwell gets inside the food industrys pursuit of the perfect spaghetti sauce  and makes a larger argument about the nature of choice and happiness,business|choice|consumerism|culture|economics|food|marketing|media|storytelling,0:17:30
David Epstein,893,Are athletes really getting faster better stronger,8863959,When you look at sporting achievements over the last decades it seems like humans have gotten faster better and stronger in nearly every way Yet as David Epstein points out in this delightfully counterintuitive talk we might want to lay off the selfcongratulation Many factors are at play in shattering athletic records and the development of our natural talents is just one of them,genetics|innovation|sports|science|DNA|physiology,0:14:53
Oliver Sacks,1128,What hallucination reveals about our minds,8845301,Neurologist and author Oliver Sacks brings our attention to Charles Bonnet syndrome  when visually impaired people experience lucid hallucinations He describes the experiences of his patients in heartwarming detail and walks us through the biology of this underreported phenomenon,biology|brain|medicine|mental health|mind|psychology|sight|neuroscience,0:18:48
Mia Nacamulli,277,How the food you eat affects your brain,8744748,When it comes to what you bite chew and swallow your choices have a direct and longlasting effect on the most powerful organ in your body your brain So which foods cause you to feel so tired after lunch Or so restless at night Mia Nacamulli takes you into the brain to find out Directed by Private Island narrated by Addison Anderson,health|brain|food|human body|public health|animation||biology|science,0:04:37
Yves Rossy,888,Fly with the Jetman,8660628,Strapped to a jetpowered wing Yves Rossy is the Jetman  flying free his body as the rudder above the Swiss Alps and the Grand Canyon After a powerful short film shows how it works Rossy takes the TEDGlobal stage to share the experience and thrill of flying,adventure|design|flight|technology,0:14:48
Lisa Winer,292,Can you solve the virus riddle,8530815,Your research team has found a prehistoric virus preserved in the permafrost and isolated it for study After a late night working youre just closing up the lab when a sudden earthquake hits and breaks all the sample vials Will you be able to destroy the virus before the vents open and unleash a deadly airborne plague Lisa Winer shows how Directed by Artrake Studio narrated by Addison Anderson,animation||virus|disease|history|math|natural disaster,0:04:52
Daphne Bavelier,1077,Your brain on video games,8437285,How do fastpaced video games affect the brain Step into the lab with cognitive researcher Daphne Bavelier to hear surprising news about how video games even actionpacked shooter games can help us learn focus and fascinatingly multitask,|brain|education|gaming,0:17:57
Yossi Elran,272,Can you solve the prisoner boxes riddle,8384831,Your favorite band is great at playing musicbut not so great at being organized They keep misplacing their instruments on tour and its driving their manager mad Can you solve the brainnumbing riddle their manager assigns them and make sure the band stays on their label Yossi Elran shows how Directed by Artrake Studio narrated by Addison Anderson,creativity|music||math|animation,0:04:32
Bill Gross,400,The single biggest reason why startups succeed,8362288,Bill Gross has founded a lot of startups and incubated many others  and he got curious about why some succeeded and others failed So he gathered data from hundreds of companies his own and other peoples and ranked each company on five key factors He found one factor that stands out from the others  and surprised even him,business|creativity|technology,0:06:40
Ruth Chang,881,How to make hard choices,8347057,Heres a talk that could literally change your life Which career should I pursue Should I break up  or get married Where should I live Big decisions like these can be agonizingly difficult  But thats because we think about them the wrong way says philosopher Ruth Chang She offers a powerful new framework for shaping who we truly are,choice|decision-making|philosophy,0:14:41
Johann Hari,1231,This could be why youre depressed or anxious,8325890,In a moving talk journalist Johann Hari shares fresh insights on the causes of depression and anxiety from experts around the world  as well as some exciting emerging solutions If youre depressed or anxious youre not weak and youre not crazy  youre a human being with unmet needs Hari says,depression|mental health|illness|society|personal growth|brain|humanity|relationships,0:20:31
Dennis Shasha,243,Can you solve the temple riddle,8319957,Your expedition finally stands at the heart of the ancient temple But as you study the inscriptions in the darkness two wisps of green smoke burst forth The walls begin to shake The giant sandglass begins flowing with less than an hour before it empties and a rumbling tells you that you dont want to be around when that happens Can you use math to escape the temple Dennis E Shasha shows how Directed by Artrake Studio narrated by Addison Anderson,animation||math,0:04:03
Russell Foster,1306,Why do we sleep,8258805,Russell Foster is a circadian neuroscientist He studies the sleep cycles of the brain And he asks What do we know about sleep Not a lot it turns out for something we do with onethird of our lives In this talk Foster shares three popular theories about why we sleep busts some myths about how much sleep we need at different ages  and hints at some bold new uses of sleep as a predictor of mental health,health|mental health|neuroscience|science|consciousness|biology|brain|mind|memory|cognitive science,0:21:46
Ray Laurence,503,Four sisters in Ancient Rome,8238665,How did the young wealthy women of Ancient Rome spend their days Meet Domitia and her sister Domitia and her sister Domitia and her sister Domitia Ray Laurence sketches the domestic life of leisure that these young girls lived despite little recorded information on women from this otherwise welldocumented era Directed by Cognitive Media narrated by Ray Laurence ,history||ancient world|animation|anthropology|culture|world cultures,0:08:23
Annie Bosler and Don Greene,275,How to practice effectivelyfor just about anything,8211384,Mastering any physical skill takes practice Practice is the repetition of an action with the goal of improvement and it helps us perform with more ease speed and confidence But what does practice actually do to make us better at things Annie Bosler and Don Greene explain how practice affects the inner workings of our brains Directed by Martina Metrovi narrated by Addison Anderson music by Wonder Boy Audio,memory|psychology||animation|health care|brain|health|human body|music|healthcare,0:04:35
Alain de Botton,1011,A kinder gentler philosophy of success,8211111,Alain de Botton examines our ideas of success and failure  and questions the assumptions underlying these two judgments Is success always earned Is failure He makes an eloquent witty case to move beyond snobbery to find true pleasure in our work,culture|philosophy|success|work|work-life balance,0:16:51
Amy Webb,1047,How I hacked online dating,8143930,Amy Webb was having no luck with online dating The dates she liked didnt write her back and her own profile attracted crickets and worse So as any fan of data would do she started making a spreadsheet Hear the story of how she went on to hack her online dating life  with frustrating funny and lifechanging results,algorithm|culture|data|love|technology,0:17:27
Jim Holt,1037,Why does the universe exist,8112168,Why is there something instead of nothing In other words Why does the universe exist and why are we in it Philosopher and writer Jim Holt follows this question toward three possible answers Or four Or none,philosophy,0:17:17
Susan David,1008,The gift and power of emotional courage,8087456,Psychologist Susan David shares how the way we deal with our emotions shapes everything that matters our actions careers relationships health and happiness In this deeply moving humorous and potentially lifechanging talk she challenges a culture that prizes positivity over emotional truth and discusses the powerful strategies of emotional agility A talk to share,communication|psychology|emotions|humanity|happiness|depression|personal growth|life|culture|business|social change|work|motivation,0:16:48
Adam Grant,808,Are you a giver or a taker,8080457,In every workplace there are three basic kinds of people givers takers and matchers Organizational psychologist Adam Grant breaks down these personalities and offers simple strategies to promote a culture of generosity and keep selfserving employees from taking more than their share,anthropology|behavioral economics|business|collaboration|community|leadership|motivation|personal growth|personality|psychology|self|society|work,0:13:28
Natalya St Clair,263,The unexpected math behind Van Goghs Starry Night,8041558,Physicist Werner Heisenberg said When I meet God I am going to ask him two questions why relativity And why turbulence I really believe he will have an answer for the first As difficult as turbulence is to understand mathematically we can use art to depict the way it looks Natalya St Clair illustrates how Van Gogh captured this deep mystery of movement fluid and light in his work Directed by Avi Ofer narrated by Addison Anderson ,|art|math|painting|culture|history|animation,0:04:23
Genevieve von Petzinger,725,Why are these 32 symbols found in ancient caves all over Europe,7997386,Written language the hallmark of human civilization didnt just suddenly appear one day Thousands of years before the first fully developed writing systems our ancestors scrawled geometric signs across the walls of the caves they sheltered in Paleoanthropologist rock art researcher and TED Senior Fellow Genevieve von Petzinger has studied and codified these ancient markings in caves across Europe The uniformity of her findings suggest that graphic communication and the ability to preserve and transmit messages beyond a single moment in time may be much older than we think,art|ancient world|anthropology|history|Europe|humanity|invention|writing|language|science||communication|science and art|visualizations,0:12:05
Murat Dalkilin,251,The benefits of good posture,7964173,Has anyone ever told you Stand up straight or scolded you for slouching at a family dinner Comments like that might be annoyingbut theyre not wrong Your posture is the foundation for every movement your body makes and can determine how well your body adapts to the stresses on it Murat Dalkilin gives the pros of good posture Directed by Nadav Arbel narrated by Addison Anderson,design|health|public health|technology||animation|human body|physiology|health care|healthcare,0:04:11
Ric Elias,302,3 things I learned while my plane crashed,7939202,Ric Elias had a frontrow seat on Flight 1549 the plane that crashlanded in the Hudson River in New York in January 2009 What went through his mind as the doomed plane went down At TED he tells his story publicly for the first time,business|storytelling|transportation,0:05:02
Bill Gates,3110,How we must respond to the coronavirus pandemic,7921890,Philanthropist and Microsoft cofounder Bill Gates offers insights into the COVID19 pandemic discussing why testing and selfisolation are essential which medical advancements show promise and what it will take for the world to endure this crisis This virtual conversation is part of the TED Connects series hosted by head of TED Chris Anderson and current affairs curator Whitney Pennington Rodgers Recorded March 24 2020,health care|disease|virus|medicine|global issues|economics|pandemic|TED Connects|coronavirus,0:51:50
Sleepy Man Banjo Boys,527,Bluegrass virtuosity from  New Jersey,7913060,All under the age of 16 brothers Jonny Robbie and Tommy Mizzone are from New Jersey a US state thats better known for the rock of Bruce Springsteen than the bluegrass of Earl Scruggs Nonetheless the siblings began performing bluegrass covers as well as their own compositions at a young age Here they play three dazzling songs in three different keys passing the lead back and forth from fiddle to banjo to guitar,children|entertainment|live music|music|performance|wunderkind,0:08:47
David SteindlRast,870,Want to be happy Be grateful,7875126,The one thing all humans have in common is that each of us wants to be happy says Brother David SteindlRast a monk and interfaith scholar And happiness he suggests is born from gratitude An inspiring lesson in slowing down looking where youre going and above all being grateful,culture|faith|happiness|mindfulness,0:14:30
Alexander Tsiaras,577,Conception to birth  visualized,7858643,Imagemaker Alexander Tsiaras shares a powerful medical visualization showing human development from conception to birth and beyond Some graphic images,design|medical research|science|visualizations|biotech|medical imaging|physiology|science and art|pregnancy|human body|Best of the Web,0:09:37
Nadine Burke Harris,959,How childhood trauma affects health across a lifetime,7822229,Childhood trauma isnt something you just get over as you grow up Pediatrician Nadine Burke Harris explains that the repeated stress of abuse neglect and parents struggling with mental health or substance abuse issues has real tangible effects on the development of the brain This unfolds across a lifetime to the point where those whove experienced high levels of trauma are at triple the risk for heart disease and lung cancer An impassioned plea for pediatric medicine to confront the prevention and treatment of trauma headon,brain|children|health|health care,0:15:59
Terry Moore,179,How to tie your shoes,7748496,Terry Moore found out hed been tying his shoes the wrong way his whole life In the spirit of TED he takes the stage to share a better way,culture|demo|entertainment,0:02:59
Cal Newport,831,Why you should quit social media,7643244,Does quitting social media make you an unemployable Luddite Computer scientist Dr Cal Newport doesnt think so In this eyeopening talk he debunks three objections commonly offered up as rationale for keeping that allimportant Facebook account ,technology|social media|work|productivity|mental health,0:13:51
Arthur Benjamin,384,The magic of Fibonacci numbers,7622548,Math is logical functional and just  awesome Mathemagician Arthur Benjamin explores hidden properties of that weird and wonderful set of numbers the Fibonacci series And reminds you that mathematics can be inspiring too,entertainment|magic|math,0:06:24
Ganesh Pai,228,Can you solve the passcode riddle,7622046,In a dystopian world your resistance group is humanitys last hope Unfortunately youve all been captured by the tyrannical rulers and brought to the ancient coliseum for their deadly entertainment Will you be able to solve the passcode riddle and get everyone out safely Ganesh Pai shows how Directed by Jun Zee Myers narrated by Addison Anderson,math||animation,0:03:48
Anthony Hazard,323,The Atlantic slave trade What too few textbooks told you,7620835,Slavery has occurred in many forms throughout the world but the Atlantic slave trade  which forcibly brought more than 10 million Africans to the Americas  stands out for both its global scale and its lasting legacy Anthony Hazard discusses the historical economic and personal impact of this massive historical injustice Directed by NEIGHBOR narrated by Addison Anderson,anthropology|history|sociology|Slavery|race|animation||religion|inequality|humanity|Africa|economics|United States|education|community,0:05:23
Michael Shermer,805,Why people believe weird things,7560486,Why do people see the Virgin Mary on a cheese sandwich or hear demonic lyrics in Stairway to Heaven Using video and music skeptic Michael Shermer shows how we convince ourselves to believe  and overlook the facts,culture|entertainment|faith|illusion|religion|science,0:13:25
Tabetha Boyajian,826,The most mysterious star in the universe,7536773,Something massive with roughly 1000 times the area of Earth is blocking the light coming from a distant star known as KIC 8462852 and nobody is quite sure what it is As astronomer Tabetha Boyajian investigated this perplexing celestial object a colleague suggested something unusual Could it be an alienbuilt megastructure Such an extraordinary idea would require extraordinary evidence In this talk Boyajian gives us a look at how scientists search for and test hypotheses when faced with the unknown,exploration|extraterrestrial life|NASA|nature|Planets|astronomy|science|universe|technology|telescopes,0:13:46
Alex Gendler,309,Can you solve the pirate riddle,7496307,Its a good day to be a pirate Amaro and his four mateys  Bart Charlotte Daniel and Eliza have struck gold  a chest with 100 coins But now they must divvy up the booty according to the pirate code  and pirate code is notoriously complicated Can you help come up with the distribution that Amaro should propose to make sure he lives to tell the tale Alex Gendler shows how Directed by Artrake Studio narrated by Addison Anderson,collaboration||math|animation|money,0:05:09
W Keith Campbell,294,The psychology of narcissism,7461934,Narcissism isnt just a personality type that shows up in advice columns its actually a set of traits classified and studied by psychologists But what causes it And can narcissists improve on their negative traits W Keith Campbell describes the psychology behind the elevated and sometimes detrimental selfinvolvement of narcissists Directed by TOGETHER narrated by Addison Anderson,|psychology|personality|mind|animation|brain,0:04:54
Emilie Wapnick,746,Why some of us dont have one true calling,7430462,What do you want to be when you grow up Well if youre not sure you want to do just one thing for the rest of your life youre not alone In this illuminating talk writer and artist Emilie Wapnick describes the kind of people she calls multipotentialites  who have a range of interests and jobs over one lifetime Are you one,|creativity|curiosity|education|identity|personal growth|work,0:12:26
Malcolm Gladwell,940,The unheard story of David and Goliath,7394856,Its a classic underdog tale David a young shepherd armed only with a sling beats Goliath the mighty warrior The story has transcended its biblical origins to become a common shorthand for unlikely victory But asks Malcolm Gladwell is that really what the David and Goliath story is about,ancient world|entertainment|history|storytelling|war,0:15:40
Philip Zimbardo,1396,The psychology of evil,7341040,Philip Zimbardo knows how easy it is for nice people to turn bad In this talk he shares insights and graphic unseen photos from the Abu Ghraib trials Then he talks about the flip side how easy it is to be a hero and how we can rise to the challenge,children|crime|culture|education|evil|global issues|peace|prison|psychology,0:23:16
Beau Lotto,990,Optical illusions show how we see,7339426,Beau Lottos color games puzzle your vision but they also spotlight what you cant normally see how your brain works This fun firsthand look at your own versatile sense of sight reveals how evolution tints your perception of whats really out there,art|brain|consciousness|mind|psychology|science|visualizations,0:16:30
Katie Hood,733,The difference between healthy and unhealthy love,7318783,In a talk about understanding and practicing the art of healthy relationships Katie Hood reveals the five signs you might be in an unhealthy relationship  with a romantic partner a friend a family member  and shares the things you can do every day to love with respect kindness and joy While love is an instinct and an emotion the ability to love better is a skill we can all build and improve on over time she says,love|communication|relationships|personal growth|emotions|youth|humanity|life,0:12:13
Jane McGonigal,1170,The game that can give you 10 extra years of life,7308386,When game designer Jane McGonigal found herself bedridden and suicidal following a severe concussion she had a fascinating idea for how to get better She dove into the scientific research and created the healing game SuperBetter In this moving talk McGonigal explains how a game can boost resilience  and promises to add 75 minutes to your life,body language|entertainment|gaming|medicine|science|aging|life|philosophy|social media|social change|happiness|illness|cognitive science|psychology|mind|neuroscience|motivation|technology|compassion|self|health|health care,0:19:30
Allan Savory,1339,How to fight desertification and reverse climate change,7220277,NOTE Statements in this talk have been challenged by scientists working in this field Please read Criticisms amp Updates below for more details Desertification is a fancy word for land that is turning to desert begins Allan Savory in this quietly powerful talk And its happening to about twothirds of the worlds grasslands accelerating climate change and causing traditional grazing societies to descend into social chaos Savory has devoted his life to stopping it He now believes  and his work may show  that a surprising factor can protect grasslands and even reclaim degraded land that was once desert,agriculture|climate change|green,0:22:19
Christina Greer,305,Does your vote count The Electoral College explained,7216149,You vote but then what Discover how your individual vote contributes to the popular vote and your states electoral vote in different waysand see how votes are counted on both state and national levels Lesson by Christina Greer directed by Mark Phillips narrated by Christina Greer,animation||democracy|history,0:05:05
Ze Frank,1136,Nerdcore comedy,7187959,Performer and web toymaker Ze Frank delivers a hilarious nerdcore standup routine then tells us what hes seriously passionate about helping people create and interact using simple addictive web tools,collaboration|comedy|community|culture|dance|demo|entertainment|software|performance|humor,0:18:56
Karen J Meech,804,The story of Oumuamua the first visitor from another star system,7158524,In October 2017 astrobiologist Karen J Meech got the call every astronomer waits for NASA had spotted the very first visitor from another star system The interstellar comet  a halfmilelong object eventually named Oumuamua from the Hawaiian for scout or messenger  raised intriguing questions Was it a chunk of rocky debris from a new star system shredded material from a supernova explosion evidence of alien technology or something else altogether In this riveting talk Meech tells the story of how her team raced against the clock to find answers about this unexpected gift from afar,astronomy|extraterrestrial life|exploration|NASA|nature|science|universe|space|asteroid|astrobiology,0:13:24
Matthew Winkler,261,What makes a hero,7158401,What trials unite not only Harry Potter or Frodo Baggins but many of literatures most interesting heroes And what do ordinary people have in common with these literary heroes Matthew Winkler takes us stepbystep through the crucial events that make or break a hero Directed by Kirill Yeretsky narrated by Matthew Winkler music by Stephen LaRosa ,|storytelling|literature|personal growth,0:04:21
Bryan Stevenson,1421,We need to talk about an injustice,7157753,In an engaging and personal talk  with cameo appearances from his grandmother and Rosa Parks  human rights lawyer Bryan Stevenson shares some hard truths about Americas justice system starting with a massive imbalance along racial lines a third of the countrys black male population has been incarcerated at some point in their lives These issues which are wrapped up in Americas unexamined history are rarely talked about with this level of candor insight and persuasiveness,crime|culture|global issues|inequality|law|race|criminal justice|justice system,0:23:41
Steven Zheng,281,How does anesthesia work,7151624,When under anesthesia you cant move form memories or  hopefully  feel pain And while it might just seem like you are asleep for that time you actually arent Whats going on Steven Zheng explains what we know about the science behind anesthesia Directed by Zedem Media narrated by Addison Anderson,consciousness|health|history|psychology|public health|medicine|medical research|invention||science|human body|animation,0:04:41
Simon Anholt,1074,Which country does the most good for the world,7123931,Its an unexpected side effect of globalization problems that once would have stayed localsay a bank lending out too much moneynow have consequences worldwide But still countries operate independently as if alone on the planet Policy advisor Simon Anholt has dreamed up an unusual scale to get governments thinking outwardly The Good Country Index In a riveting and funny talk he answers the question Which country does the most good The answer may surprise you especially if you live in the US or China,Foreign Policy|global issues|government|policy|statistics|business,0:17:54
Dan Ariely,1046,Are we in control of our own decisions,7114160,Behavioral economist Dan Ariely the author of Predictably Irrational uses classic visual illusions and his own counterintuitive and sometimes shocking research findings to show how were not as rational as we think when we make decisions,culture|decision-making|economics|global issues|psychology|science|self|society|personality|Best of the Web,0:17:26
Shane Koyczan,723,To This Day  for the bullied and beautiful,7021132,By turn hilarious and haunting poet Shane Koyczan puts his finger on the pulse of what its like to be young and  different To This Day his spokenword poem about bullying captivated millions as a viral video created crowdsource style by 80 animators Here he gives a glorious live reprise with backstory and violin accompaniment by Hannah Epperson,bullying|children|compassion|depression|mental health|poetry|spoken word,0:12:03
Yuval Noah Harari,1028,What explains the rise of humans,7017048,Seventy thousand years ago our human ancestors were insignificant animals just minding their own business in a corner of Africa with all the other animals But now few would disagree that humans dominate planet Earth weve spread to every continent and our actions determine the fate of other animals and possibly Earth itself How did we get from there to here Historian Yuval Noah Harari suggests a surprising reason for the rise of humanity,evolution|history|human origins|humanity|storytelling,0:17:08
Helen M Farrell,254,What is depression,6999583,Depression is the leading cause of disability in the world in the United States close to ten percent of adults struggle with the disease But because its a mental illness it can be a lot harder to understand than say high cholesterol Helen M Farrell examines the symptoms and treatments of depression and gives some tips for how you might help a friend who is suffering Directed by Artrake Studio narrated by Addison Anderson,health|psychology|brain|biology|science|mental health|disability|animation||health care|depression|healthcare|disease|human body|illness,0:04:14
Dalia Mogahed,976,What its like to be Muslim in America,6962711,When you look at Muslim scholar Dalia Mogahed what do you see A woman of faith A scholar a mom a sister Or an oppressed brainwashed potential terrorist In this personal powerful talk Mogahed asks us in this polarizing time to fight negative perceptions of her faith in the media  and to choose empathy over prejudice,faith|culture|Islam|United States,0:16:16
Johnny Lee,340,Free or cheap Wii Remote hacks,6960640,Building sophisticated educational tools out of cheap parts Johnny Lee demos his cool Wii Remote hacks which turn the 40 video game controller into a digital whiteboard a touchscreen and a headmounted 3D viewer,business|demo|design|education|entertainment|gaming|hack|technology,0:05:40
Peta Greenfield,252,Who were the Vestal Virgins and what was their job,6941723,In ancient Rome Vestal Virgins were tasked with keeping vigil over the flame of Vesta the virgin goddess of the hearth The flame represented two things the continuation of Rome as a power in the world and the continuing virginity of Vestas priestesses But what was life really like for these Vestal Virgins Peta Greenfield goes back in time to find out Directed by Kozmonot Animation Studio narrated by Susan Zimmerman music by Wonder Boy Audio,anthropology|history|religion|ancient world||world cultures|animation|culture,0:04:12
Larry Smith,915,Why you will fail to have a great career,6926358,In this funny and blunt talk Larry Smith pulls no punches when he calls out the absurd excuses people invent when they fail to pursue their passions,|business|failure|goal-setting|happiness|success,0:15:15
Seth Godin,1021,How to get your ideas to spread,6914727,In a world of too many options and too little time our obvious choice is to just ignore the ordinary stuff Marketing guru Seth Godin spells out why when it comes to getting our attention bad or bizarre ideas are more successful than boring ones,business|choice|culture|marketing|storytelling,0:17:01
Brian Greene,1307,Is our universe the only universe,6866182,Is there more than one universe In this visually rich actionpacked talk Brian Greene shows how the unanswered questions of physics starting with a big one What caused the Big Bang have led to the theory that our own universe is just one of many in the multiverse,String theory|cosmos|physics|science|time|universe|Planets|space|astronomy|exploration|math|dark matter|big bang,0:21:47
Andrew Solomon,1227,How the worst moments in our lives make us who we are,6862470,Writer Andrew Solomon has spent his career telling stories of the hardships of others Now he turns inward bringing us into a childhood of adversity while also spinning tales of the courageous people hes met in the years since In a moving heartfelt and at times downright funny talk Solomon gives a powerful call to action to forge meaning from our biggest struggles,LGBT|culture|depression|identity|pain|gender equality,0:20:27
Amy Adkins,241,3 tips to boost your confidence,6859778,When faced with a big challenge where potential failure seems to lurk at every corner youve probably heard the advice Be more confident But where does confidence come from and how can you get more of it Here are three easy tips to boost your confidence Directed by Kozmonot Animation Studio narrated by Susan Zimmerman music by WORKPLAYWORK and Cem Misirlioglu,health|personality|psychology|animation|mental health||hack|human body|happiness,0:04:01
